Genes,Olaparib,Veliparib,BMN673,Rucaparib,Cisplatin,Carboplatin,Mitomycin C,SN-38,Epirubicin,Etoposide,Doxorubicin,Camptothecin,Mitoxantrone,Docetaxel,Paclitaxel,Vinorelbine,Busulfan,Chlorambucil,Melphalan,Temozolomide,5-FU,Gemcitabine,6-Mercaptopurine,Methotrexate,Hydroxyurea,NU7441,KU55933,Bleomycin,Actinomycin D,Methotrexate 5-FU,Gemcitabine  Paclitaxel
MAP1B,-1.407101837,1.272358042,-1.261160985,0.633059514,0.013977009,0.196109138,0.350683931,-0.082524439,-0.669869487,0.248814531,0.271992205,0.233435546,0.200436143,0.77691099,-0.080820756,-0.553657762,0.179626312,-1.048717208,-0.619965041,1.519727941,0.109098514,0.163489181,-3.311711699,0.309824386,1.407424082,-0.855311533,0.270502176,-0.219509984,0.341958348,0.248695347,-0.126201113
MAN2A1,1.51503882,0.958791309,1.333942616,-1.175597136,-0.955085095,2.252082314,1.332037842,0.027167566,2.013035288,0.04990544,0.20758901,0.793391069,0.84739492,0.32948409,0.252444774,0.874800119,-2.948675375,2.212234757,1.050160916,0.455182874,2.096810087,-2.910782633,2.498406481,1.064622689,-0.138970721,2.113922456,2.093321285,-1.557871762,-2.23740622,0.111219297,-1.727125595
LTK,1.884348661,0.35246876,-0.598717377,0.473646386,0.096586229,3.103640421,-0.275271356,0.651595079,-0.904816705,-0.163939328,0.40415739,-0.289530368,0.154739535,1.779808405,4.695163861,-0.326420579,-0.764650638,3.148637994,0.60229313,1.478359799,-0.308098938,3.312981725,-4.07351139,-0.060329407,-2.506726773,1.612538383,1.681469324,2.529165919,-1.323283241,1.397879512,4.849316311
LSM1,-0.609118883,0.727768326,0.039909561,0.667175633,0.17909528,0.188330987,0.467033002,0.014886487,-0.016594329,0.078941633,-0.013825305,-0.02766649,-0.316372954,-0.192678035,-0.339576016,1.461968506,0.01235283,-0.390202087,0.350464324,0.118987621,-0.022754393,-0.292961689,-0.06236877,0.070652595,0.579304886,-0.724398551,0.121844798,0.074098768,0.052207125,-0.351015339,-0.320085905
LRP1B,1.459028666,0.05766781,1.286952696,1.423670036,1.456199972,0.88176454,1.759425699,0.476377628,1.294055764,0.245151459,0.495052581,0.378542748,0.034317956,0.131463462,4.152659408,-0.122155181,-0.53406144,1.697963068,0.084991971,-1.711502714,1.76084924,0.632875082,-0.856231957,0.459203303,0.132912902,2.289450705,0.067479102,-0.421011924,0.357189282,2.099704422,1.130501839
LOXL2,3.34646142,0.07955935,0.840075323,1.509871738,-0.05138071,0.044448103,1.350304089,0.43932491,-2.793288559,-2.283362615,-1.39985466,-0.405711931,0.010233738,0.386772784,-0.54992052,2.572289008,0.208151628,0.053294786,0.915930008,0.738546538,1.414315059,3.133951169,-0.489982882,0.568441893,0.382409597,3.846108244,4.100750101,-0.822746925,-2.065158684,0.500444241,0.113643931
LONRF1,0.003268251,0.500806181,-1.364171604,-0.061235818,-2.393656394,-0.577394142,-1.683555732,-0.779215948,-0.536771655,0.166057499,-0.524534448,-0.841253323,0.318083627,0.120057503,-0.705481629,0.272507222,-0.642356319,-0.368730748,-0.710605801,0.263216161,0.283907117,-3.523347407,1.738048728,0.642356466,0.174579652,0.013047215,2.508923368,-3.084876026,-1.513981399,0.369153542,-1.987897783
LMNB1,0.10257868,0.144214788,0.197366208,0.331925147,-0.359585754,-0.366012569,0.51988091,0.304542615,-0.380469863,0.333579721,0.342988945,-0.403407097,-0.372666902,-0.422426558,-1.957286858,0.321776081,-0.434994434,0.199943519,-0.361720797,0.211266027,0.301247351,0.375102833,-0.412566692,-0.418049133,0.093711656,-0.419284797,-0.409763971,0.390764885,0.300669823,-0.138003221,-1.955202894
LIG4,4.096031959,1.758482807,1.814652275,0.155990055,-3.00667077,2.983331151,0.437497793,0.161835481,3.196290877,-1.06950464,1.850127979,0.943749661,0.207249057,1.017809021,0.953658298,0.146427758,0.623717309,3.628102354,0.784976155,-0.885846059,0.802169788,3.696503705,1.823880783,-0.075404948,-0.703159431,3.772849138,0.716105249,-2.267322862,-4.722727156,0.076235306,5.274075951
LIG3,-0.913185904,-1.606242041,-0.777693739,-1.087256217,-1.305770961,-0.839216547,0.506541462,-0.164176393,0.122065432,-1.192685679,-0.44360107,0.278376615,0.473777714,-0.403721469,-0.300000891,3.430138939,-0.929354423,0.007181441,0.007971047,-0.120631073,-1.286504481,0.972198748,-1.880163221,0.198319426,1.260502233,-0.126778733,0.692257784,-0.476281636,0.007528323,-0.214809046,-0.181548019
LIG1,-1.190594165,0.779779962,-0.036373925,-0.096871634,0.44990743,2.377751789,0.104597049,0.174434841,0.722456477,0.312912383,0.187507324,-0.414294287,0.118313762,-0.105108621,1.129297677,2.169752253,-0.200202297,1.984655907,0.246084066,1.032431339,0.116035153,0.062603292,1.394662501,0.09725669,0.874602089,1.407639439,1.786382255,-0.078086831,0.151918244,-0.042220897,2.675477794
LEPROTL1,2.648435278,-1.469507847,3.055207997,-1.808517537,1.860206436,2.755584253,2.082073862,1.211037641,3.418712254,0.739409111,2.148163308,1.026397442,1.474759054,0.125634419,6.663381286,-0.436866092,1.904307265,3.497382403,1.535652951,-0.577452725,0.783532525,-0.087438255,2.257934705,0.269173486,-0.211895742,4.997380673,2.923756705,-0.165075302,0.913378924,1.819662815,-2.715204031
KLHL9,1.488834639,0.226743228,3.169064115,1.799072593,2.008615981,0.178761527,2.607823101,-0.285210763,0.269761167,-0.063585166,1.318465546,-0.188316043,-0.92956511,0.437593975,4.161790337,0.906522792,0.55219086,2.237174009,0.236162744,0.149389543,0.438088347,-3.818828477,1.682205261,-0.971011515,-0.00951003,1.165158219,1.423047716,-0.355012915,2.191524073,-0.047658573,0.382013329
KLF13,1.179340472,0.170067738,-0.262967726,-0.184121964,-0.048065376,0.296814664,-0.505717037,-0.262180983,0.433549259,-0.066977896,-0.036092161,-1.007849817,-0.57420487,0.35700177,-1.078464513,3.934412082,0.391776791,-3.308516622,-2.102191578,0.867625798,-0.168342207,-0.240777679,-0.017605634,-0.01209486,1.39801033,-3.128127537,-1.150337174,-0.046009733,-0.028232313,0.103367767,3.108694829
KIF13B,2.40830979,2.526940247,0.409403797,-0.045344313,-0.107103595,-0.789866177,0.498426545,-0.029154605,-4.208770208,-0.575464088,-0.60411042,-0.440421618,-0.501714486,0.624955514,-3.283599755,2.496411274,0.328340401,-2.266696628,-0.393115766,3.137041903,-0.343977064,1.03597924,-0.439991646,-0.096704443,3.165483348,-3.391938897,-0.23873753,0.320458587,-0.312520636,-1.596520362,-2.021135088
KIAA1967,2.689259914,1.839035786,0.527248088,0.686630786,0.758683542,1.35179292,0.631060519,-0.301767467,0.190194972,0.611372896,-0.099109351,-0.651828883,0.259467496,0.036257146,-1.546005034,-2.822789979,0.696318575,1.890488393,0.045038541,0.603274444,0.489778381,1.007533342,0.233696886,-0.280381589,0.177149623,1.637043612,2.525495181,-0.119634535,0.387311854,0.093511009,2.472910584
KIAA1797,-1.072291601,-1.099107741,-1.418860722,-0.565134268,-0.213592029,0.658129866,-1.659586591,-0.136420683,-1.111798069,-2.396922017,-1.676878422,-0.249753122,-0.280805036,-0.655497329,-1.483255428,1.710699166,-1.384829847,-1.23816002,-0.560096102,1.908868248,1.41738062,-1.155525198,1.87731898,0.507092193,0.201774243,0.232599337,0.192557253,-1.01481546,-1.990380205,1.443136938,-4.494842555
