Gene,ABT199,Quizartinib,JQ1,Vorinostat,Selinexor,Cytarabine,Mitoxantrone,Decitabine,Azacitidine
ADRB1,0.187790712,-0.044662628,-0.131396694,-0.000670637,-0.013294563,-0.144678852,-0.041826259,-0.035543336,-0.159060101
ADRB2,0.915311548,0.111794974,0.478541316,-0.15042339,0.060469379,-0.128570281,0.226394003,0.506184045,0.3795115
ADRBK1,-0.013156244,0.05447997,-0.286371785,-0.186280447,-0.110690477,-0.038480824,-0.065142846,-0.05716141,-0.566121626
ADRBK2,0.145365948,-0.147099377,-0.359779293,0.09024485,-0.124341595,0.285679212,-0.306809236,-0.449718655,-0.078008084
ADSS,-0.928252953,-0.521945697,1.134596421,-0.481920245,0.668290811,1.845257956,-0.879596412,0.491185204,-0.487433216
AEBP1,0.197751946,0.025838453,-0.308500388,0.258063388,0.259152964,0.427232919,-0.141986893,-0.306454133,-0.515107936
AGK,-0.378232384,0.024908661,0.078237626,-0.022183752,-0.124815593,0.025512777,-0.035971214,-0.04770868,0.12468286
AGTR1,0.220777973,-0.010349777,-0.264158324,0.178549096,-0.071301881,0.13592184,-0.008306056,-0.22384457,-0.180489436
AHCTF1,-0.789783718,-0.058476842,0.955228602,-0.386449652,-0.407582981,-0.329392879,0.575106585,0.622107554,0.681317576
AIRE,0.059501285,0.006083977,0.23895147,0.229661798,0.001990799,0.05367993,-0.028257953,-0.358444729,-0.237778127
AJUBA,-0.124970036,-0.07124545,0.883684099,0.251619403,0.002106725,0.046545232,0.074600229,0.170000603,0.28624388
AK1,0.194099481,-0.093789913,-0.39247743,0.043858593,0.220142868,0.008243901,0.055182703,-0.096681983,-0.208588331
AK2,-0.233453314,0.030384633,0.406865611,0.392195617,0.394747069,0.060423443,0.138189857,0.001326873,0.158443046
AK3,0.573885993,-0.121536873,-0.009582784,0.20074699,-0.103881479,0.00993163,0.23007932,-0.086586364,-0.221305597
AK4,-0.339705118,0.199034776,0.580451046,-0.067610678,-0.240108632,-0.229027091,0.330465014,0.59339872,0.300563153
AK5,0.221291297,0.081315024,-0.199621389,0.130592448,0.207274433,0.045370773,-0.020784467,-0.072551417,-0.29668475
AK7,0.218162119,-0.094513337,-0.547355994,-0.005190991,-0.106121623,0.041232001,-0.047038023,-0.193524761,-0.18653775
AK8,-0.268358053,-0.304168228,-0.189986338,0.048507608,0.031242301,0.153590477,-0.170266403,-0.293381038,-0.236773845
AK9,-0.454258265,-0.073690646,0.155762657,0.013693052,-0.298099034,0.110481593,-0.139481334,-0.146604951,-0.34570227
AKAP1,0.673762278,0.36996002,-0.780246832,0.11919675,0.125608757,0.235617559,-0.625109041,-0.493194332,-0.89577694
AKAP13,-0.052456264,0.09257224,-0.54811471,0.278714511,0.116296964,0.260057906,-0.016493417,-0.524820742,-0.292219537
AKAP2,0.532738214,-0.103943285,-0.67767007,0.14226915,0.109061488,0.227552409,-0.03410018,-0.663649434,-0.512886207
AKAP8,-0.347680762,-0.347457748,0.516537307,-0.110606584,-0.423585243,0.207514267,-0.011597292,-0.213943288,0.069547388
AKAP9,-0.284143617,-0.32470545,-0.442462803,0.102809912,-0.132406012,0.032961741,-0.488481906,-0.513607203,-0.556699629
AKNA,0.036778832,-0.276747442,-0.6957411,0.180587076,0.256428084,0.285687489,-0.215908349,-0.542682089,-0.750678074
AKT1,-0.413296884,-0.035128802,0.030066949,0.182945454,-0.396919201,0.359352275,0.061852113,-0.2136651,0.034315482
AKT2,-0.325544113,-0.048460713,0.563064483,-0.013443671,-0.817156539,-0.346643988,0.126707219,0.268876693,0.21807485
AKT3,-0.594894473,-0.319180601,0.721012065,-0.31365445,-0.817302326,-0.375528558,0.20507291,0.202911952,0.263933869
ALDH18A1,-0.030827899,0.087740205,-0.111062968,0.105165477,-0.720818726,-0.01646613,0.161246526,0.016415404,0.214238804
ALDH2,0.206349256,-0.120364635,-0.327975616,-0.00276692,-0.130063735,0.117561686,-0.056458952,-0.220938231,-0.22522934
ALG1,-0.101838136,-0.051773773,0.402611376,-0.453336515,-0.402714304,-0.319737465,-0.81547822,-0.424317106,0.015111498
ALG13,0.207111577,-0.046178977,0.511369034,-0.206817587,-0.033350336,0.018612651,-0.121730474,0.167888041,0.322731868
ALK,0.03066419,-0.229160156,-1.144135202,0.190985937,0.281567599,0.161563494,-0.575648967,-0.892996083,-0.9771963
ALKBH1,0.328194515,-0.149342022,-0.146714527,0.5939334,0.490574409,0.77786605,0.43652409,-0.056746178,0.219624549
ALKBH2,-0.34690722,-0.379816255,-0.261918216,0.049814221,-0.295683335,0.352642824,0.164794527,0.033010467,0.171461257
ALKBH3,0.057139863,-0.020166524,0.033515635,-0.186016719,-0.300289572,-0.289659779,0.060886003,0.089886394,-0.013586609
