Gene,ABT199,Quizartinib,JQ1,Vorinostat,Selinexor,Cytarabine,Mitoxantrone,Decitabine,Azacitidine
DOT1L,-0.428555558,0.253459704,0.39338933,0.394689088,0.86758759,0.581991495,0.218042742,-0.143896987,-0.154512939
DPEP1,0.173609929,-0.015175037,-0.443794804,0.10341656,0.124488731,0.1004425,-0.381645008,-0.361131757,-0.640571873
DPF1,0.371726666,-0.060805756,-0.208748048,0.123418589,-0.006208129,0.120087611,-0.153410034,-0.191178078,-0.002109686
DPF2,-0.395878421,0.693276353,-0.446988546,0.350813741,0.089574584,0.741612283,-0.429570524,-0.432489778,0.50969024
DPF3,0.142816277,-0.003456685,-0.373922845,-0.073688822,-0.495976252,-0.310384578,0.049231851,0.00210004,-0.103180286
DPP4,0.504536544,-0.07252962,-0.108809686,-0.028288221,0.54990148,-0.09165498,0.079685625,-0.210591572,-0.242333105
DPY30,-0.103362591,0.169212659,0.274357811,-0.048821615,-0.352679772,-0.509607823,-0.219127451,0.439369161,0.197767433
DR1,0.290058582,-0.097674843,0.040512675,0.029610461,0.2696484,-0.209753798,-0.109767436,0.088875959,0.726568419
DRD1,-0.012906146,-0.005952424,0.099575151,0.120944511,0.177539536,0.149814534,0.080880011,0.147876607,0.040973561
DRD2,0.349567711,0.050059285,-0.085628062,0.179971033,-0.187881595,-0.016488885,0.06782391,0.060592416,0.147496218
DRD3,0.085868694,0.181501024,-0.233760647,0.008340711,-0.026970306,0.166039183,-0.177414967,-0.294922069,-0.004166522
DRD4,0.133092884,-0.132437238,-0.550789816,0.068233104,-0.05067132,0.118637747,-0.168139211,-0.107256443,-0.338532291
DRD5,-0.071667646,0.073981529,-0.159455916,0.040931096,-0.343243524,-0.027500582,0.021210578,0.105034519,0.003728425
DSTYK,0.419508725,-0.008664827,-0.540193643,0.337773577,0.005768517,0.378290292,0.208275541,-0.360066393,-0.237923581
DTX1,0.026092985,-0.123654919,-0.158028163,0.083875624,-0.019577367,0.002402078,-0.016257447,0.01235608,0.090311642
DTX2,0.445780154,0.000654967,-0.602942296,0.106169408,-0.001178246,0.187048894,-0.04412633,-0.154593706,-0.476850388
DTX3L,0.016911185,0.04121523,0.035135625,-0.16947474,-0.243210429,-0.196030055,-0.038346529,-0.166183353,-0.051369043
DTYMK,-0.051680852,0.264306349,-0.736050958,0.945210195,0.999695333,0.637891471,-0.386051188,-0.52024632,-0.886376491
DUT,-0.104104865,-0.924539291,0.075548657,0.011825671,-0.648801209,0.09915227,2.215533649,0.306865854,0.830180979
DVL1,-0.320383392,-0.365914733,-0.426660041,0.380089617,0.125107805,0.265519744,-0.26812206,-0.604354744,-0.549547115
DVL2,-0.051642803,-0.086146176,-0.329265945,0.225492162,0.100715714,0.149633146,-0.332732595,-0.457346989,-0.406836504
DVL3,-0.201102675,-0.141949688,-0.175079524,-0.008779834,-0.084052874,-0.221613359,-0.161098577,-0.287736672,-0.278252192
DYNC1H1,-0.357511317,-0.307046514,-0.481120376,-0.429147457,-0.198776619,-0.487296828,-0.19589866,-0.514031643,-0.347855643
DYNC1I2,-0.291444296,-0.231331023,-0.006472334,0.159204239,0.000732801,-0.030356189,0.075300356,-0.042852677,-0.084230395
DYRK1A,-0.254730682,0.144445834,2.89921842,0.329896738,0.233915322,-0.00209134,-0.086775278,0.676387034,0.770547822
DYRK1B,-0.053613722,0.002156203,-0.537705212,0.096760194,-0.053345068,0.227316215,-0.021774322,-0.375172044,-0.346584226
DYRK2,-0.057471488,-0.127022707,-0.675827513,0.172808065,0.178445049,0.27982765,-0.229784106,-0.309105536,-0.335175567
DYRK3,-0.113671148,0.01972272,-0.648782867,0.073272331,-0.02385078,0.351436406,-0.075543655,-0.073450777,-0.105308064
DYRK4,-0.046895693,-0.002340729,-0.286548212,0.476702362,0.100489706,0.689615295,-0.235801464,-0.357808761,-0.288252979
E2F3,0.330524148,-0.286313491,2.330572252,0.015709197,-1.02338759,-0.229002352,-0.113731762,-0.619448795,-0.138216901
EDNRA,0.38581361,0.147199681,0.35602786,0.037314176,-0.266066204,-0.090059222,0.207344372,0.330281184,0.410884252
EDNRB,-0.112926297,0.091968082,-0.646270016,0.035350629,-0.163500676,0.118854328,-0.166404531,-0.371418789,-0.388772683
EED,-0.811594868,0.354699061,0.670263515,0.08127043,0.718678752,-0.251125674,0.538600035,-0.190633902,0.122922796
EEF1A2,-0.030782991,0.231565266,-0.227178372,0.2129516,0.119248087,-0.218053921,0.181576716,0.405367663,0.168025845
EEF2K,0.482836255,0.122677239,0.066541282,-0.041906906,-0.218743337,-0.060989145,0.09209705,0.118294725,0.253953461
EFEMP1,-0.183261476,-0.558567247,-0.351362717,-0.214661627,0.129842905,-0.081964347,0.084403877,-0.199406989,-0.101721119
EFNA3,0.232083362,0.117896115,-0.065208377,-0.074790387,-0.125952506,-0.113601759,-0.111391678,-0.109842865,-0.136822024
EFNA4,0.014642521,-0.1455036,-0.168776547,0.119942794,0.490303213,0.130681109,-0.049510112,-0.232062923,-0.229982313
EFNB3,0.490484413,0.05948611,-0.773908177,0.334724483,0.369216798,0.431063855,0.189492971,0.363925095,-0.108146341
EGFR,0.311758676,-0.031144431,-0.142652246,-0.04146646,0.102441525,0.062926204,-0.049865039,-0.331459451,0.067155797
EGR3,-0.093284381,0.08620481,-0.434538717,0.116155698,-0.228709436,0.079037842,-0.054418564,-0.588167986,-0.175765044
EHMT1,0.197650351,-0.340997281,0.486326743,-0.314338677,-0.134599931,-0.04522504,0.01937996,-0.324379433,-0.492974899
EHMT2,-0.358293913,0.286290668,-0.575029816,0.425043454,0.312333603,0.20716714,-0.566334903,-0.704097564,-0.561774524
EIF1AX,-0.830277888,-0.350413417,0.332955803,0.153279276,-0.138549693,-0.18633225,0.100209236,-0.258432349,0.089749844
EIF2AK1,-0.196112519,-0.085062948,-0.459411908,-0.095785896,-0.042380923,-0.039996183,0.048151737,-0.141091349,-0.391762097
EIF2AK2,0.302480754,-0.092323462,0.00710895,-0.086979128,-0.346969483,-0.092389663,0.001114753,0.149457765,-0.081376485
EIF2AK3,0.231865533,-0.042924939,-0.02709488,0.111782694,-0.055159519,0.075071365,-0.024637871,0.118285856,-0.059501123
EIF2AK4,1.025229964,0.706817752,0.332068292,0.245701558,1.757633592,0.590318218,-0.100750818,0.184179791,0.370453003
EIF2B4,0.080509349,0.217204885,0.081398752,0.318377153,-0.504287679,0.079245978,0.214276195,1.534013608,0.135635785
EIF3B,-0.357123227,-0.395534641,0.291137993,0.123897036,0.276489959,0.022723877,0.152069802,-0.077478009,0.69484344
EIF3F,0.07749385,-0.089217848,0.594879639,0.020018767,-0.488716297,-0.003711603,0.534383707,0.507062823,0.556534594
EIF3G,0.252513939,0.1515401,-0.511794421,-0.073110787,0.92562481,-0.045360996,0.11317473,0.01330002,0.063439029
EIF3I,-0.09405297,0.002555847,-0.115885459,0.213854952,0.613325653,0.260632171,-0.07652093,-0.313721493,-0.014175894
EIF4A2,0.235970196,0.011920937,0.311119007,0.025587481,-0.349372989,0.036897009,0.200960408,0.52974854,0.324899709
EIF4EBP1,0.179154154,0.040300197,-0.360718044,0.147247901,0.112503739,0.026558605,0.126396242,-0.314910456,-0.005570038
ELANE,-0.315625143,-0.113888964,0.006762447,0.074558741,-0.20586347,0.171904246,0.152047247,-0.009512256,-0.153401922
ELF3,0.320770066,-0.079656644,-0.733883593,0.138780794,-0.107718672,0.093484297,-0.135586793,-0.653204016,-0.302248175
ELP3,-0.41517269,-0.161483837,-0.160618401,-0.06370491,0.739033189,-0.248141127,-0.245812493,-0.294887366,-0.198197601
ENC1,-0.045560939,-0.003844158,0.077899991,-0.01559132,-0.055809014,0.151864128,0.027086461,0.069214489,0.036296039
ENG,-0.071385687,0.106598233,-0.038570447,-0.01731747,0.131148066,0.068517814,-0.152194483,-0.249349159,-0.287954496
ENO1,0.318041577,0.420774682,-0.355519602,0.382814789,0.198449829,0.03581291,0.001257992,-0.172115403,4.228870058
ENO3,0.033794055,-0.239180292,-0.638061304,0.218962662,0.296261766,0.162119435,-0.305814478,-0.676441342,-0.749913136
ENY2,-0.581705811,0.16849733,0.519291522,-0.319104213,-0.484557934,-0.039509392,0.219188115,0.15712933,0.267333488
EP300,-0.269951715,-0.08591507,0.262352808,0.062032802,0.452845118,-0.059529763,0.112214764,0.053646712,-0.113826226
EP400,0.138882698,-0.062879775,-0.672058321,0.183616069,0.331500807,0.167987339,-0.156142522,-0.419507559,-0.242101372
EPAS1,0.477180764,-0.071432444,0.10394025,-0.151918837,-0.259440186,-0.261563445,0.068611972,-0.519932777,-0.383627984
EPC1,-0.49397803,-0.031129158,-0.169427347,0.469544273,-0.078459608,0.181527911,0.208238442,0.39540312,0.147470878
EPC2,-0.456658622,-0.332656491,-0.33981298,0.632872565,0.160164399,0.230906609,-0.069507139,0.157637329,0.026247723
EPGN,1.152937321,0.052737991,0.516323834,0.364544662,0.843513585,0.36924619,0.812303693,0.094051887,0.141712309
EPHA1,0.224087093,-0.090232417,-0.041233957,0.35447906,0.313174898,0.222455682,0.1753702,0.191128372,-0.069038426
EPHA10,-0.057510519,-0.128098506,-0.112125465,0.066858685,-0.28473853,0.157721351,-0.14569556,-0.196789044,-0.237681437
EPHA2,0.232821544,0.10188772,-0.50484362,0.242646185,0.143197697,0.182277502,-0.168663257,-0.694754864,-0.622853709
EPHA3,-0.21168982,0.170381827,0.122682213,-0.020204415,-0.394359593,-0.109320841,-0.097547479,0.139793456,-0.042172458
EPHA4,-0.416723141,0.059446052,-0.361160486,0.230093454,-0.06866847,-0.114818147,0.108836783,-0.057759844,0.128420165
EPHA5,0.635606979,-0.042569331,-0.378039154,-0.049685803,-0.133378322,-0.054100506,0.170868253,-0.242544731,-0.054811757
EPHA7,0.269635002,0.018469359,-0.183657798,-0.067010462,-0.046156501,0.035926906,-0.05827247,-0.005256626,-0.012519856
EPHA8,0.372539864,0.007553016,-0.258927899,-0.001470935,-0.12991135,0.135865342,-0.032834658,-0.238669997,-0.300443617
EPHB1,0.322147644,0.041097324,0.028281793,0.139930008,0.125585986,0.115045135,0.010418761,-0.003134886,-0.134880933
EPHB2,0.108711309,-0.037008565,0.060395785,0.026219746,-0.226082568,-0.004000251,0.103835976,0.300480576,0.248489874
EPHB3,0.658189716,-0.183434495,-1.176894681,0.42694016,0.224998856,0.541645912,-0.641577663,-0.486408095,-1.327145763
EPHB4,0.164754819,-0.28220958,-0.620349481,0.258551645,0.155862813,0.172206734,-0.2080835,-0.717392367,-0.670729199
EPHB6,-0.239979902,0.209184048,0.140987249,0.207385194,0.096567809,0.330776116,-0.086109413,-0.17639268,-0.155113336
EPOR,0.173152912,-0.142181297,-0.693470479,0.209171996,0.100606731,0.272957489,-0.345437097,-0.682427362,-0.457994871
EPS8,-0.298183584,0.227978078,-0.048620587,0.233632362,-0.020968456,0.571885318,-0.236443785,-0.120678486,-0.109665331
EPS8L1,0.100648025,-0.17555531,-0.362799964,0.157377717,0.232385512,0.42200976,0.054473415,-0.378314838,-0.481829039
ERBB2,0.213039178,-0.010875815,0.230598488,0.030297954,-0.285768004,0.066715899,0.095786045,-0.175622904,-0.251095777
ERBB3,0.236387005,0.041057576,-0.237251663,0.270281873,1.434813127,0.179543336,-0.236500611,-0.513122555,-0.502146638
ERBB4,0.502099806,0.025102993,0.259673453,0.046582447,-0.084198006,0.049843238,-0.028917224,-0.253626885,-0.048305056
ERCC1,-0.092143776,0.151455627,-0.681717697,-0.517767192,-0.12345343,-0.086630289,-0.075391001,0.056899169,-0.101344764
ERCC2,-0.517083538,0.207382049,0.045844323,0.367331755,-0.236085035,0.739386495,-0.339012144,-0.391890089,0.126040356
ERCC3,0.095031002,-0.064191188,-0.278451824,0.211160148,-0.214796905,0.138667318,-0.026763694,-0.214170874,-0.269836879
ERCC4,-0.479416521,0.148162239,0.288835802,-0.140801265,-0.027432759,0.126774124,-0.053063685,0.163777893,0.295918215
ERCC5,0.138138772,0.028171993,-0.336192016,-0.055990572,-0.553764804,-0.106455432,0.002680834,-0.429297447,-0.106072845
ERCC6,0.183710449,0.23303584,-0.488832205,0.093839209,-0.03765767,-0.262164918,-0.111411727,-0.787976719,-0.793813171
ERCC6L,-0.344012117,-0.073375372,-0.040248353,0.564713733,-0.417452971,-0.048554639,-0.072492676,0.142582191,-0.133330577
ERCC6L2,0.177145483,0.003165157,-0.156044376,-0.133877421,0.19334657,-0.045040514,-0.970311637,0.113987531,0.176252616
ERCC8,-0.407927965,0.099531122,-0.374008205,0.429673819,0.226516486,0.318601813,-0.090078955,-0.984627099,-0.971956805
ERG,0.591614286,0.095138999,0.439969694,-0.201626744,-0.241098534,-0.213105699,0.064913076,0.350104742,0.128544719
ERN1,1.210671673,0.193496414,-0.798341667,0.600829275,-0.178031299,-0.129344177,-0.479367729,-0.973183209,-0.563747244
ERN2,0.100497246,-0.173899842,-0.582290071,0.087730545,0.141525579,0.134728933,-0.031685312,-0.139870358,-0.354471162
ESCO1,-0.823394628,0.167701613,0.734742608,0.093659575,0.318495693,-0.098522297,-0.281805582,0.204227092,0.292208526
ESCO2,-0.51290525,0.121490843,0.027239549,-0.105458125,-0.340128387,0.052125558,-0.390532449,-0.095119883,-0.195325865
ESPL1,0.247607578,0.64166024,-0.571553402,-0.07903549,-0.226960611,-0.219848853,-0.715838109,0.1420296,-0.529830989
ESR1,0.038252686,-0.198036734,0.062880766,0.070132446,-0.093793072,-0.126617465,-0.296396128,-0.386385899,-0.473474434
ESR2,-0.19644453,0.243933161,-0.119073528,-0.124436508,-0.238738541,-0.07720211,-0.030502975,-0.297969461,-0.093492978
ESRRB,0.610733826,0.140760117,-0.493554362,0.095073701,-0.014693404,0.163454552,-0.105019672,-0.117132707,-0.104984308
ETF1,6.02E-05,-0.199120229,0.817052991,0.384629117,-0.641437248,0.302028026,0.151955681,0.030427312,0.101168062
ETNK1,-0.288746954,-0.160091932,0.336853836,-0.121371804,-0.149081678,-0.256856536,0.031567603,0.216379702,0.372786456
ETNK2,0.114885924,0.130010694,-0.68472135,-0.178140688,-0.234709397,-0.052058446,-0.283309648,-0.164471176,-0.084326288
ETV1,0.298359912,-0.062989969,-0.236728998,0.163819378,0.073143237,0.20000789,0.15577476,-0.35000612,-0.142645639
ETV3,-0.054415194,0.731460112,-0.253814233,-0.126375676,-0.211440624,-0.032536763,-0.015466471,-0.177780629,-0.242868091
ETV4,0.172135795,-0.132168225,-0.626175227,0.053277914,0.517642751,0.099935603,0.122595683,0.000441236,-0.373579448
ETV5,0.224964307,-0.287202876,-1.141250377,0.017454972,-0.40759637,0.347731941,-0.069844458,0.19459311,-0.386358919
ETV6,-0.308059573,0.234757628,-1.006870338,-0.060306204,1.342956546,0.038551527,0.010399109,0.533368672,0.223959401
EWSR1,-0.39471075,0.214063843,-0.467669703,-0.199448537,0.032986395,0.158654654,-0.849349357,-0.550651402,-0.387049783
EXO1,-0.349254845,0.281084141,0.201719103,-0.120637591,-0.157616879,0.1548844,-0.29558626,-0.066061984,0.055632908
EXOSC10,-0.16684058,0.488154986,-1.25877379,1.168928847,2.182559126,1.818357026,0.074179789,-0.308468076,-0.73234992
EYA1,0.212192749,0.295691705,-0.031290318,-0.274810214,-0.11784801,-0.232684261,0.245506365,0.101207864,0.145168698
EYA2,-0.161904142,0.158267951,-0.431931443,-0.044367741,0.090870361,0.10997588,-0.106446723,-0.24838854,-0.443528701
EYA3,-1.032029522,0.098039305,0.198372446,-0.130377892,-0.094271543,-0.240726443,0.328026175,0.46886517,0.703018599
EZH1,0.088882252,-0.417715941,-0.6603709,0.429175055,-0.031495131,0.255928291,-0.045820558,-0.482024763,-0.264705355
EZH2,-1.300844295,0.040190777,-0.349292895,0.408860087,1.255067438,-0.297232907,-0.422594681,-0.160994002,-0.186527093
F10,0.114726469,-0.027121291,-0.070269693,-0.046709879,-0.183049994,-0.133037793,0.05789446,0.060696675,-0.103013034
F2,-0.065483708,-0.116801016,-0.191817162,-0.092852261,-0.346103258,-0.214789684,0.079853338,-0.170199987,-0.30262255
F5,-0.101743662,-0.170075662,0.071278342,0.145737079,-0.077624201,0.155381387,0.193789266,0.301168551,0.234135188
F8,-0.208117168,0.040328808,0.249347934,-0.150699315,-0.168661146,-0.243680729,0.204071119,0.251722958,0.315754986
F9,0.213726027,0.135125282,0.239871446,0.240573423,0.030387904,-0.379067746,0.313913986,0.44476216,0.502668763
FAM171B,0.01438227,-0.167588508,-0.299347528,0.318728974,0.253502541,0.209093516,-0.268247679,-0.395558406,-0.454667571
FAM20B,-0.035814306,-0.072662443,-0.099493842,0.065466726,-0.332047584,-0.048167003,0.071217889,0.15946261,0.128602515
FAM20C,-0.034915601,0.134795009,0.083530501,-0.001652534,0.095748209,-0.005716323,0.107544746,0.123049352,0.203946458
FAM46C,-0.481703757,-0.096710335,0.295960472,0.140617942,-0.249783716,-0.059739109,0.314854163,0.555332415,0.310816012
FANCA,-0.514259831,0.053283096,-0.68172567,-0.29597803,-0.079907917,0.172974434,-0.405844416,-0.391311646,-0.182340527
FANCB,-0.841058103,0.265946423,0.300915894,-0.101540151,0.076739159,0.132519569,0.334267264,0.555910022,0.61826056
FANCC,-0.176780257,0.278077268,0.617502857,0.034224919,0.552320407,0.582729035,-0.393265452,0.249443608,-0.013783297
FANCD2,-0.556330124,0.238288712,-0.392306565,-0.788444894,0.385811394,0.330533096,-0.873158958,-0.407127135,-0.105269394
FANCE,-0.193998118,0.284282162,-0.659333433,-0.321395241,0.180385226,0.076047493,-0.136854116,-0.13258954,0.093128303
FANCF,-0.304183885,-0.011974209,-0.750461558,-0.231931892,0.100031508,-0.090712899,-0.38483947,-0.529918271,-0.346319121
FANCG,-0.569268709,0.209846847,-0.646907072,-0.555013453,-0.135931761,0.101257731,-0.876216439,-0.726626277,-0.752198156
FANCI,-0.554535046,0.287780822,-0.782600722,-0.700737966,-0.405230547,0.199270041,-0.737652974,-0.108058631,0.017405625
FANCL,-0.634917221,0.373223808,-0.220363878,-0.433719665,-0.067475247,0.198487337,-0.597931016,-0.21359218,-0.443816617
FANCM,-0.558367855,0.21031199,-1.240720617,0.516342276,-0.053295205,0.562787475,-0.580604326,-1.249599516,-1.140994396
FASN,-0.458282063,-0.995201172,-0.864083576,0.036138786,0.081964956,-0.072705251,-0.53335176,-1.100223196,-0.882861
FASTK,-0.784186761,0.23156834,-0.441159889,0.153225198,0.16696317,0.040868067,-0.04575189,-0.251854705,-0.11337745
FASTKD1,0.257849237,0.023318004,0.287739574,-0.095314001,0.18150461,-0.175238055,0.194629851,0.332525031,0.228571929
FASTKD2,-0.116869338,-0.291667921,-0.61748391,0.494981613,0.19427177,-0.285726788,-0.126900363,-0.197565752,-0.193323343
FASTKD3,-0.235448806,-0.198063511,0.100980578,0.121638748,0.253787938,0.180015054,0.235461907,0.405715593,0.157425433
FASTKD5,-0.895415099,0.180571273,0.512387293,0.4253846,0.547645604,0.324661672,0.102006155,0.36745131,0.922691002
FBP1,-0.146640257,0.048403862,0.067444264,0.040256122,-0.174699942,0.060010904,0.028798518,0.045017693,0.033179453
FBP2,-0.231076716,0.084535876,0.454538079,-0.145594569,-0.412671502,-0.245608464,0.1686859,0.270356981,0.402330042
FBXL19,0.355257637,-0.045843192,-0.350038248,0.203971064,-0.12479572,-0.010075808,-0.266730365,-0.3053564,-0.445616052
FBXO11,0.053673451,0.020181206,0.079284511,0.307262425,0.132451839,0.239897425,-0.098036725,0.081932283,0.022730176
FBXO18,0.042950629,-0.050089375,-0.140309916,0.044871344,-0.074444321,0.105711152,-0.034844349,-0.058596767,-0.175902583
FBXW7,0.035242007,0.277489368,0.946563378,0.068769691,1.421931178,-0.276875637,0.280057553,-0.290242449,-0.24778056
FCER1A,0.555889429,0.133435535,0.456659999,-0.004080002,0.15814375,0.046594856,0.181489605,0.314279994,0.302590535
FCER1G,-0.162733442,-0.032173327,0.014097905,-0.034634441,-0.128171954,0.027055793,0.117759354,0.040485536,0.132391134
FDPS,-0.783461082,0.975062714,-1.456443375,0.185540847,0.211682798,-0.626990007,-0.229339588,-0.964308497,0.059084294
FEN1,-0.83707134,0.279258113,-0.165530386,1.256788959,0.316666174,1.872017131,0.537707737,0.688728265,0.181600627
FER,-0.04601603,-0.113073411,0.10059391,-0.119332555,-0.435917145,0.064954359,0.078156132,0.045495829,-0.24319978
FES,0.481636595,-0.113124244,-0.099944612,0.135742547,-0.023261293,0.214849725,-0.037410285,-0.524760561,-0.260399451
FGF1,0.35062462,-0.03454433,-0.420433704,0.249464766,-0.082469553,0.180607257,-0.074093196,-0.438587133,-0.334122778
FGF10,-0.063701138,0.007875165,-0.273504684,0.199016232,-0.294447666,-0.10920779,0.084864117,0.273494103,0.181735362
FGF14,0.132147364,0.020442578,0.466060213,0.133224604,-0.082801086,0.05384183,0.139790173,0.169085441,0.35711188
FGF19,0.218500122,-0.208308285,-0.580571723,0.080412923,0.149549293,0.175458541,-0.184498014,-0.515543857,-0.428735444
FGF2,0.33069087,-0.044987337,-0.205392962,0.236427371,0.048054483,0.32264017,-0.139220642,-0.274570581,-0.023315577
FGF23,0.079074762,-0.057306782,-0.145687661,-0.013141845,-0.039873001,-0.024757682,-0.116818289,-0.136857848,-0.006894059
FGF3,-0.07165451,0.020902068,-0.203432645,0.092175053,-0.123772664,0.050312344,-0.061736048,-0.138014345,-0.175234552
FGF4,0.339252904,-0.101489653,-0.42394861,0.218622766,0.029181294,0.179073351,-0.069868889,-0.469148124,-0.493103314
FGF6,0.31629056,-0.008085825,-0.238490131,0.007842384,-0.061170239,0.025336519,0.023571528,-0.299785128,-0.191089236
FGFR1,0.134952894,-0.119051879,-0.292346652,0.032344356,0.805716097,1.43250059,0.094699043,0.019687225,-0.136938376
FGFR1OP,-0.389137618,0.191571828,-0.46369191,0.055859578,0.279587711,0.012711162,0.050539684,0.08791638,-0.111036085
FGFR2,0.153515012,-0.035729275,-0.333523817,0.172852818,0.06717738,0.071555932,-0.159208089,-0.327620722,-0.222227761
FGFR3,0.170068571,0.748965876,-0.639494248,0.0048319,-0.108528835,0.025316549,-0.117400758,-0.313135,-0.410037926
FGFR4,0.287421088,-0.116517589,-0.703395875,0.080168988,0.263616036,0.12860364,-0.146147584,-0.465625744,-0.504375165
FGFRL1,-0.244288662,-0.068766395,-0.413658656,0.321647434,-0.025722924,0.065632511,-0.209357469,-0.614917823,-0.529636537
FGGY,0.111224661,-0.083447223,-0.148741165,0.058887117,-0.358471235,-0.155230742,-0.076720136,0.105264715,-0.113801988
FGR,0.159588707,0.030170788,-0.087572096,0.225199978,0.322625242,0.034078878,0.02081121,0.060835964,0.029295278
FH,0.621627647,0.200045579,-0.121086599,0.269136849,0.112732743,0.508596993,-0.052047628,-0.483722346,-0.472656298
FICD,0.189960025,-0.087315419,-0.310381433,0.292988317,-0.027211578,0.169305461,-0.055734972,-0.123831038,0.237300935
FKBP1A,-0.076899985,0.093493887,-0.041896039,0.084582887,-0.013613254,0.019045231,0.007217496,-0.269902804,-0.405157699
FLT1,-0.13979843,0.004295496,0.209240525,0.129045719,-0.051995985,0.110226879,0.161791714,0.26209238,0.087687318
FLT3,-0.362338564,0.187543923,0.392837007,-0.010215848,-0.311256501,0.129784957,0.410666111,0.133854828,0.404820103
FLT4,1.072083247,-0.002954952,0.243333228,0.164154925,0.193000199,-0.080147794,-0.041931489,-0.170381057,-0.12383533
FN3K,0.057504295,-0.206114954,-0.322815889,0.042664322,-0.021021385,-0.089867071,-0.037936822,-0.135691861,-0.112633413
FN3KRP,0.200288186,-0.003506369,-0.675063087,0.141017462,0.194115566,0.182462617,-0.02119145,-0.443362323,-0.320791093
FOLH1,0.014427613,0.02808696,-0.141178736,0.135256205,-0.028304212,0.032361085,-0.194712844,-0.049238447,-0.204589225
FOXA1,-0.711271689,0.135408321,0.430602055,-0.475793592,0.114285681,-0.194353169,0.149541714,0.412407014,0.375023774
FOXA2,-0.007192239,-0.077704103,-0.020391322,0.141294426,-0.072579359,-0.081965921,-0.175268857,-0.092106472,-0.1622483
FOXD4L3,0.033221694,-0.049229371,-0.621311017,0.074538328,0.086141699,0.09355324,-0.243166226,-0.340522741,-0.599332299
FOXL2,-0.182163788,0.018574953,0.268743969,-0.029703955,0.118837251,-0.113742292,0.089657142,0.085555872,-0.007251083
FOXM1,-0.200968978,0.142570288,-0.884542658,-0.099121972,0.083089001,0.429694064,-0.523182276,-0.258559872,-0.152572026
FOXP3,0.246542851,-0.030592547,-0.360549293,0.066416908,-0.025465334,0.009955812,-0.100921593,-0.426586662,-0.401045778
FRK,-0.016738672,0.10350877,0.160959285,0.082523994,-0.067891423,0.113285082,0.315649248,0.274451948,0.090875228
FSHR,-0.182269231,0.018322975,0.330732614,-0.023706683,-0.169139035,0.010838158,0.200443582,0.186424769,0.176865953
FTSJ3,-0.954919501,-0.206395195,-0.275634653,-0.254753399,0.097626947,-0.024710748,-0.194408517,0.917552734,-0.024122628
FUK,0.108679821,0.025028124,-0.422672044,0.05324568,-0.073142382,-0.018742152,-0.04641719,-0.061618424,-0.242841482
FXR2,0.001052854,0.248664554,-0.204123047,-0.148130128,-0.17727462,-0.04170218,-0.173959606,0.062974137,-0.158536273
FXYD2,0.204991167,-0.007678891,-0.230142903,0.114737381,0.239647075,0.243282034,-0.036623921,0.077791158,0.224480339
FYN,-0.48055173,0.074873752,-0.134103554,-0.18133699,-0.527004871,-0.026650439,0.07012629,-0.086108116,0.046873679
G2E3,-0.376653049,0.237692829,0.419175098,-0.123608239,0.086878904,-0.142855295,0.149740988,0.208105653,0.098379477
G6PD,-0.432007514,-0.394675185,1.057442545,0.013423248,0.03635924,0.379791847,0.129654869,-0.062235896,-0.515876383
GAA,0.606206666,-0.040160407,-0.141943687,0.260397945,0.002064887,0.075302319,0.031458444,-0.064621714,0.026864322
GABBR1,0.099338896,-0.086987428,-0.430084415,0.486667359,0.640190806,0.775531501,-0.133988878,-0.476669118,-0.180873633
GABBR2,0.427716925,0.434170437,0.263331903,-0.097126767,0.010382902,-0.266130265,-0.051057355,-0.184647108,-0.158726702
GABRA1,-0.037470976,0.05785744,0.15718187,-0.069613674,-0.069002611,-0.136762411,0.07206415,0.531717253,0.147445837
GABRA2,-0.061717748,0.075501666,0.092743661,-0.011831075,-0.159404895,-0.014578812,0.2504815,0.158814759,0.239891299
GABRA3,-0.189506557,-0.227799689,-0.391526226,-0.060858319,-0.263512352,-0.068788465,0.077716647,0.216167009,0.016768895
GABRA4,0.124321848,-0.11130166,-0.357068142,0.1845916,-0.094955731,0.051826795,0.051762081,-0.105831927,-0.372767263
GABRA5,0.104524139,0.012694515,-0.019074164,0.13640572,0.038653434,0.146866293,0.040052076,-0.085442634,-0.19653137
GABRA6,0.262118147,0.085516586,0.044490713,-0.130628907,-0.191836246,-0.049201053,0.133157844,0.082131484,0.160872992
GABRB1,-0.155463671,0.118999937,0.386673825,-0.193229968,-0.193181086,-0.043947937,0.263937266,0.288390457,0.458680857
GABRB2,0.054614662,-0.049545,0.164301724,0.067794802,-0.178864264,0.016498996,0.038583014,-0.430810815,-0.352737001
GABRB3,0.602424463,-0.060587224,0.119561735,-0.083518063,-0.230336673,-0.03612079,0.347672357,0.24416867,-0.133073226
GABRD,-0.006737849,-0.044628069,-0.546303968,0.253400409,0.185475483,0.152681929,-0.240859433,-0.44007748,-0.348103978
GABRE,0.055700593,0.035615505,-0.065091812,-0.090815442,-0.318798987,0.065750488,0.173761381,-0.04566277,0.192809434
GABRG1,-0.443618541,0.596561591,0.28359173,3.088750557,1.512421343,2.121123513,-0.527273581,-0.430752044,-0.08987408
GABRG2,-0.040339651,-0.163902449,0.060136167,0.018469749,-0.004428818,0.076313102,-0.025678892,-0.111053741,0.0157134
